device_id,now-5h,now-4h,now-3h,now-2h,now-1h,now,now+1h,now+2h,now+3h,now+4h,now+5h
28C2DDDD400A,,,,,17.853159,6.333333333333,12.389985,,,,
28C2DDDD4159,,,,,-0.00075002114,,-0.0005324281,,,,
28C2DDDD41B2,,,,,14.689352,,12.997112,,,,
28C2DDDD4239,,,,,20.40424,6.583333333333,11.474373,,,,
28C2DDDD423C,,,,,7.8088675,,3.8454747,,,,
28C2DDDD4246,,,,,19.520956,,17.66868,,,,
28C2DDDD4338,,,,,21.709341,,19.503807,,,,
28C2DDDD4344,,,,,12.266307,,11.159123,,,,
28C2DDDD4354,,,,,18.376125,,15.386953,,,,
28C2DDDD436E,,,,,14.349784,,11.311312,,,,
28C2DDDD4372,,,,,24.646717,,20.737259,,,,
28C2DDDD4378,,,,,42.70889,25.833333333333,38.046883,,,,
28C2DDDD43FC,,,,,10.81111,,8.997722,,,,
28C2DDDD43FD,,,,,21.317476,,17.532513,,,,
28C2DDDD4408,,,,,18.567368,,15.648069,,,,
28C2DDDD4423,,,,,14.659899,,13.918144,,,,
28C2DDDD4559,,,,,23.25653,,19.064781,,,,
28C2DDDD4568,,,,,20.998508,,18.152803,,,,
28C2DDDD4571,,,,,20.776314,,17.67555,,,,
28C2DDDD4579,,,,,26.87981,,21.640438,,,,
28C2DDDD457E,,,,,21.419142,,18.595472,,,,
28C2DDDD4583,,,,,10.409813,9.416666666667,9.427325,,,,
28C2DDDD458F,,,,,9.28786,,6.959651,,,,
28C2DDDD4598,,,,,22.982042,,19.840353,,,,
28C2DDDD4599,,,,,32.744705,96.384615384615,31.631329,,,,
28C2DDDD459A,,,,,20.409937,,18.514837,,,,
28C2DDDD45A3,,,,,27.19204,4.75,15.299472,,,,
28C2DDDD45E6,,,,,5.5945582,,6.075151,,,,
28C2DDDD4785,,,,,21.801659,12.916666666667,17.923462,,,,
28C2DDDD478C,,,,,21.332012,,17.588533,,,,
28C2DDDD47A4,,,,,36.03857,27.833333333333,29.442549,,,,
28C2DDDD47C7,,,,,20.41569,25.5,20.215706,,,,
74DA388FF3A4,,,,,40.635803,28.916666666667,35.02228,,,,
74DA388FF3B2,,,,,23.659723,14.384615384615,18.398226,,,,
74DA388FF42C,,,,,23.767277,32.923076923077,21.479368,,,,
74DA388FF430,,,,,11.675049,6.666666666667,9.633582,,,,
74DA388FF454,,,,,7.260392,6.363636363636,5.500024,,,,
74DA388FF498,,,,,18.476555,12.538461538462,14.94026,,,,
74DA388FF49E,,,,,36.86978,24.75,30.202402,,,,
74DA3895C1FA,,,,,28.748274,,18.875937,,,,
74DA3895C208,,,,,23.663198,,17.85504,,,,
74DA3895C212,,,,,39.79062,37.0,37.936535,,,,
74DA3895C214,,,,,43.930443,31.363636363636,36.6284,,,,
74DA3895C218,,,,,29.11901,25.0,26.596878,,,,
74DA3895C21E,,,,,21.391052,,15.557813,,,,
74DA3895C222,,,,,31.593887,31.0,27.38876,,,,
74DA3895C224,,,,,26.863848,,17.50566,,,,
74DA3895C230,,,,,24.76692,,17.376436,,,,
74DA3895C260,,,,,15.402409,5.818181818182,11.97918,,,,
74DA3895C270,,,,,33.735188,36.0,27.896809,,,,
74DA3895C27A,,,,,15.365738,,14.639843,,,,
74DA3895C292,,,,,25.779778,,18.167746,,,,
74DA3895C294,,,,,48.375294,31.307692307692,36.51756,,,,
74DA3895C2A2,,,,,1.3149545,,2.042126,,,,
74DA3895C2AA,,,,,22.008247,,16.478655,,,,
74DA3895C2AE,,,,,45.992805,23.923076923077,31.383394,,,,
74DA3895C2B0,,,,,49.36543,58.230769230769,48.37802,,,,
74DA3895C2B6,,,,,26.298872,,18.997343,,,,
74DA3895C2BA,,,,,45.555965,31.076923076923,34.573334,,,,
74DA3895C2BC,,,,,40.275246,34.571428571429,31.66487,,,,
74DA3895C2BE,,,,,11.728303,7.583333333333,6.756426,,,,
74DA3895C2C0,,,,,13.458476,9.615384615385,9.464273,,,,
74DA3895C2C4,,,,,21.144464,,14.583755,,,,
74DA3895C2E2,,,,,5.2566004,10.0,6.864597,,,,
74DA3895C2F2,,,,,35.000404,31.75,31.58037,,,,
74DA3895C2F4,,,,,32.76281,29.769230769231,29.631151,,,,
74DA3895C2F8,,,,,17.348532,,14.616802,,,,
74DA3895C2FA,,,,,31.441257,,21.706661,,,,
74DA3895C304,,,,,19.571556,,16.712013,,,,
74DA3895C30A,,,,,21.948908,,16.57136,,,,
74DA3895C30C,,,,,33.337738,33.5,24.16738,,,,
74DA3895C314,,,,,44.340614,34.0,37.77463,,,,
74DA3895C316,,,,,18.54522,,16.768032,,,,
74DA3895C318,,,,,4.757826,31.142857142857,2.4281151,,,,
74DA3895C31E,,,,,44.0147,36.0,39.099617,,,,
74DA3895C320,,,,,27.579742,,18.190567,,,,
74DA3895C322,,,,,28.665056,,21.673126,,,,
74DA3895C324,,,,,40.978058,29.545454545455,32.697506,,,,
74DA3895C32A,,,,,0.14360088,0.0,0.10987535,,,,
74DA3895C332,,,,,27.053497,,23.79742,,,,
74DA3895C336,,,,,20.5131,7.769230769231,15.799903,,,,
74DA3895C348,,,,,41.025238,37.0,37.057842,,,,
74DA3895C352,,,,,39.721565,32.0,28.821123,,,,
74DA3895C366,,,,,29.322546,,20.97132,,,,
74DA3895C368,,,,,22.753212,,19.401663,,,,
74DA3895C376,,,,,25.393784,,17.586798,,,,
74DA3895C38A,,,,,22.117958,,18.423525,,,,
74DA3895C38C,,,,,31.63983,26.0,28.410862,,,,
74DA3895C38E,,,,,17.92937,,13.637419,,,,
74DA3895C392,,,,,18.819592,,15.639614,,,,
74DA3895C394,,,,,22.761774,,16.938778,,,,
74DA3895C396,,,,,47.934174,31.75,36.232166,,,,
74DA3895C39E,,,,,41.802242,39.833333333333,40.61896,,,,
74DA3895C3AE,,,,,38.54914,33.0,35.09955,,,,
74DA3895C3B4,,,,,30.352783,30.0,22.069881,,,,
74DA3895C3B8,,,,,27.268059,,19.868185,,,,
74DA3895C3CC,,,,,35.20651,32.0,33.86864,,,,
74DA3895C3DC,,,,,25.268225,,17.420849,,,,
74DA3895C3E2,,,,,18.565243,12.076923076923,13.335315,,,,
74DA3895C3EC,,,,,25.732937,22.666666666667,21.60889,,,,
74DA3895C406,,,,,15.403905,13.083333333333,14.494376,,,,
74DA3895C40E,,,,,10.386902,5.615384615385,5.4860673,,,,
74DA3895C42E,,,,,11.223521,9.909090909091,10.518467,,,,
74DA3895C54C,,,,,44.94435,33.916666666667,37.27193,,,,
74DA3895C55A,,,,,20.967747,13.846153846154,15.420774,,,,
74DA3895C55C,,,,,43.23083,50.416666666667,36.872604,,,,
74DA3895C56C,,,,,33.405323,28.071428571429,28.617165,,,,
74DA3895C572,,,,,32.394665,24.166666666667,26.74805,,,,
74DA3895C576,,,,,25.491053,28.0,16.925497,,,,
74DA3895C57E,,,,,31.706366,17.333333333333,24.108047,,,,
74DA3895C588,,,,,26.088083,,16.65578,,,,
74DA3895C58C,,,,,24.094765,,16.594158,,,,
74DA3895C58E,,,,,23.343855,,17.388939,,,,
74DA3895C590,,,,,21.5148,22.583333333333,16.58068,,,,
74DA3895C596,,,,,26.688549,,19.21859,,,,
74DA3895C5B4,,,,,35.744743,25.75,30.280182,,,,
74DA3895DF9E,,,,,41.759983,30.916666666667,35.4674,,,,
74DA3895DFA6,,,,,18.129759,,15.347421,,,,
74DA3895DFB2,,,,,42.039738,49.75,42.471886,,,,
74DA3895DFC4,,,,,19.635124,,12.818862,,,,
74DA3895DFC8,,,,,18.06539,21.5,14.330039,,,,
74DA3895DFF6,,,,,23.28582,,22.204493,,,,
74DA3895E04C,,,,,17.479065,,17.579407,,,,
74DA3895E070,,,,,34.713333,95.285714285714,39.534004,,,,
